accx,accy,accz
0.0803,0.4897,1.5951
0.2314,0.5326,2.5218
0.4285,0.6705,3.1283
0.6714,0.8776,3.2659
0.7863,1.1044,2.7129
0.8838,1.3752,2.0556
1.117,1.4538,1.5923
1.1812,1.5356,1.3407
1.1956,1.6701,1.4802
1.2963,1.6247,1.9666
1.5015,1.3423,2.4928
1.6394,0.9526,2.8884
1.68,0.6323,3.0509
1.6079,0.3216,3.0093
1.5935,0.3676,2.9763
1.5448,0.0612,2.3049
1.4953,0.0775,1.6649
1.4455,0.1797,0.9881
1.4545,0.3058,0.5183
1.5273,0.4396,0.0394
1.5219,0.5538,-0.5001
1.4632,0.67,-1.0851
1.4163,0.6781,-1.3794
1.2402,0.5886,-1.6509
0.9924,0.4881,-1.7898
0.8692,0.3869,-1.7797
0.7865,0.2602,-1.7195
0.8322,0.1671,-1.5555
0.9331,0.1049,-1.4741
1.0291,0.1216,-1.4739
1.1109,0.1156,-1.5519
1.2182,0.0013,-1.6247
1.1074,-0.0588,-1.6076
0.7712,-0.2816,-1.6114
0.378,-0.4879,-1.648
-0.0035,-0.6609,-1.6476
-0.2343,-0.7683,-1.5637
-0.3664,-0.8123,-1.4072
-0.3633,-0.7988,-1.2826
-0.34,-0.7269,-1.2511
-0.2477,-0.6927,-1.2242
-0.2006,-0.6589,-1.1476
-0.2041,-0.7006,-1.0223
-0.2537,-0.7569,-0.9135
-0.3361,-0.7939,-0.8646
-0.4464,-0.8595,-0.8109
-0.4484,-0.8971,-0.8621
-0.365,-0.8813,-0.9673
-0.1896,-0.8679,-1.1475
0.0962,-0.8022,-1.3834
0.2863,-0.749,-1.615
0.4104,-0.765,-1.8175
0.4815,-0.7411,-1.9796
0.5723,-0.7835,-2.1176
0.5998,-0.8003,-2.2783
0.7424,-0.8861,-2.4131
0.9128,-0.9451,-2.3518
1.086,-0.9808,-2.0304
1.2947,-1.0585,-1.524
1.3926,-1.0438,-0.924
1.642,-0.956,-0.4182
1.8541,-0.7766,0.0521
1.8234,-0.5293,0.6235
1.652,-0.3651,1.4149
1.2727,-0.2755,2.2507
0.674,-0.2331,3.2328
0.032,-0.137,3.9413
-0.3776,0.1472,4.5387
-0.423,0.5726,4.8166
0.1143,0.8968,4.7945
0.9965,1.0623,4.7987
1.7875,1.1835,4.9409
1.9956,1.0448,5.1335
1.6598,0.5988,5.23
1.0368,0.1081,4.9472
0.3793,-0.3553,4.29
0.035,-0.5722,3.6337
-0.1733,-0.5891,2.8761
-0.2106,-0.4381,2.1969
-0.2094,-0.2402,1.3549
-0.216,-0.101,0.561
-0.2177,0.0738,-0.3031
-0.2144,0.1839,-1.0067
-0.1073,0.2762,-1.6445
-0.051,0.3566,-2.1316
-0.0536,0.3807,-2.4678
-0.0768,0.3619,-2.6319
0.0362,0.2864,-2.5523
-0.0233,0.1634,-2.2376
-0.1207,-0.1302,-1.7768
-0.2305,-0.439,-1.3815
