accx,accy,accz
0.0078,-0.0713,-0.1688
0.0018,-0.0443,-0.1619
-0.0163,-0.0505,-0.1815
0.0083,-0.083,-0.17
-0.003,-0.0627,-0.1658
-0.0025,-0.0855,-0.1615
-0.0423,-0.0726,-0.1739
-0.0536,-0.1025,-0.1721
-0.0458,-0.1106,-0.1704
-0.0455,-0.1089,-0.1713
-0.031,-0.1068,-0.0693
-0.0648,-0.0927,-0.0848
-0.0487,-0.0984,-0.0712
-0.0186,-0.1017,-0.0791
-0.0077,-0.1051,-0.1181
-0.0131,-0.0965,-0.1045
-0.0178,-0.0949,-0.1173
-0.0079,-0.0883,-0.1229
-0.0123,-0.1107,-0.1141
-0.0068,-0.0852,-0.1412
-0.0306,-0.0623,-0.1658
0.0004,-0.0342,-0.1307
0.05,-0.0251,-0.1389
0.0493,-0.0425,-0.1709
0.0636,-0.0439,-0.1762
0.0331,-0.0215,-0.1742
0.0576,-0.033,-0.1744
0.0534,-0.0469,-0.177
0.0651,-0.0513,-0.1724
0.0742,-0.0749,-0.1008
0.0781,-0.0791,-0.1011
0.0721,-0.0742,-0.1443
0.071,-0.0887,-0.1323
0.0986,-0.0884,-0.0846
0.116,-0.0951,-0.1136
0.078,-0.0659,-0.1331
0.0575,-0.061,-0.1188
0.0154,-0.0726,-0.0807
0.0164,-0.0741,-0.1147
0.0103,-0.0664,-0.1222
-0.022,-0.0516,-0.1033
-0.0276,-0.0394,-0.1561
-0.0354,-0.0517,-0.2111
-0.0376,-0.0641,-0.23
-0.0489,-0.0595,-0.2275
-0.0816,-0.052,-0.1869
-0.0591,-0.0463,-0.1753
-0.0536,-0.0405,-0.1662
-0.0482,-0.0399,-0.1617
-0.043,-0.0467,-0.1643
-0.0696,-0.0275,-0.1476
-0.0295,-0.0272,-0.1382
0.0194,-0.0148,-0.1097
0.0365,-0.0071,-0.0908
0.032,-0.0116,-0.1031
0.0301,-0.0116,-0.1031
0.0377,-0.0406,-0.1126
0.0835,-0.0387,-0.146
0.0646,-0.0705,-0.1721
0.0699,-0.0829,-0.1599
0.0254,-0.081,-0.1693
0.0244,-0.0861,-0.1692
0.0113,-0.0696,-0.2074
-0.0092,-0.0939,-0.236
0.0278,-0.1131,-0.2265
0.0096,-0.0936,-0.1716
0.0057,-0.0999,-0.1529
0.0069,-0.1132,-0.175
-0.006,-0.1051,-0.1803
-0.0641,-0.0921,-0.1593
-0.0885,-0.1074,-0.1361
-0.0749,-0.0892,-0.1201
-0.0594,-0.061,-0.0755
0.0133,-0.0375,-0.0215
0.0572,-0.0377,-0.0321
0.0447,-0.0292,-0.0352
0.0573,-0.0287,-0.0689
0.0636,-0.0384,-0.1383
0.0755,-0.0675,-0.1883
0.0778,-0.0771,-0.3318
0.0799,-0.0763,-0.3322
0.0897,-0.212,-0.3456
0.0306,-0.1438,-0.2933
0.0135,-0.0781,-0.29
0.0259,-0.0503,-0.3036
0.0202,-0.0391,-0.1903
-0.021,0.0346,0.0091
0.029,-0.0672,-0.0953
0.061,-0.0648,-0.0997
-0.0076,-0.0041,-0.1704
-0.0032,-0.0014,-0.1716
-0.2095,-0.0149,0.0137
-0.1069,-0.0023,0.029
-0.0498,0.0329,0.0161
0.0324,0.012,0.0133
0.0707,-0.0142,0.0106
0.0499,-0.0362,-0.0204
0.064,-0.0921,-0.0872
0.0382,-0.0983,-0.0746
0.0389,-0.1642,-0.1052
0.0348,-0.1896,-0.1189
0.036,-0.1696,-0.1828
0.0804,-0.1447,-0.1511
0.0702,-0.1913,-0.2176
0.0318,-0.1135,-0.2577
-0.0141,-0.0248,-0.1477
0.0172,0.02,-0.1173
0.0247,0.0075,-0.147
-0.0465,-0.0083,-0.2049
-0.0547,-0.0179,-0.2024
-0.0459,-0.004,-0.2476
-0.1043,-0.019,-0.2377
-0.1003,-0.053,-0.1967
-0.0986,-0.0435,-0.1511
-0.1138,-0.0414,-0.1174
-0.0644,-0.0447,-0.1097
-0.0135,-0.0798,-0.1376
0.0414,-0.0861,-0.1489
0.1007,-0.0658,-0.1268
0.1429,-0.1172,-0.1191
0.1161,-0.1301,-0.1258
0.102,-0.1191,-0.1158
0.0499,-0.1101,-0.0508
0.0144,-0.0981,0.0353
0.0234,-0.0427,0.0878
0.0475,-0.0282,0.1284
0.1086,-0.0051,0.0784
0.1299,-0.0139,0.0119
0.1891,-0.0545,-0.0685
0.1556,-0.0792,-0.1654
0.1326,-0.107,-0.281
0.0798,-0.1132,-0.363
0.0562,-0.1191,-0.45
0.0542,-0.1097,-0.4727
0.045,-0.1207,-0.4721
0.0096,-0.0895,-0.4339
0.0056,-0.0311,-0.3195
-0.005,0.0136,-0.2676
-0.0607,0.0128,-0.1966
-0.1058,0.0308,-0.1014
-0.1939,0.0463,-0.0565
-0.1983,0.0587,-0.0232
-0.2098,-0.0134,-0.0302
-0.2613,-0.0454,-0.0369
-0.2969,-0.0754,-0.0793
-0.2756,-0.0816,-0.1048
-0.2485,-0.1258,-0.1352
-0.1507,-0.1764,-0.142
-0.1055,-0.1714,-0.1346
-0.0271,-0.1614,-0.1418
0.024,-0.156,-0.1515
0.0835,-0.1671,-0.1349
0.1728,-0.147,-0.1018
0.2204,-0.1315,-0.1214
0.2127,-0.1018,-0.141
0.2429,-0.0816,-0.1534
0.2892,-0.0038,-0.1372
0.2554,0.0766,-0.1115
0.2904,0.0423,-0.062
0.256,0.0812,-0.1174
0.2631,0.0928,-0.1556
0.2735,0.0438,-0.172
0.2609,0.0201,-0.231
0.2118,0.0075,-0.2921
0.1464,-0.0316,-0.3003
0.0836,-0.058,-0.2504
0.03,-0.0902,-0.2921
-0.048,-0.1165,-0.2744
-0.1352,-0.1359,-0.1715
-0.1228,-0.1203,-0.1148
-0.1626,-0.1136,-0.0967
-0.1696,-0.0926,-0.1194
-0.2078,-0.1147,-0.0175
-0.2446,-0.1031,-0.021
-0.273,-0.0966,-0.022
-0.2806,-0.1095,-0.0156
-0.2464,-0.0915,-0.0139
-0.2523,-0.0832,-0.0671
-0.1867,-0.1137,-0.1081
-0.1438,-0.0842,-0.1156
-0.1189,-0.0929,-0.1183
-0.0692,-0.0753,-0.121
-0.0214,-0.0439,-0.1449
0.0197,-0.001,-0.1878
0.0226,-0.0014,-0.2472
0.047,-0.016,-0.2374
0.0811,-0.0347,-0.2255
0.1119,-0.0155,-0.2852
0.1424,-0.0158,-0.2993
0.1288,-0.0329,-0.3158
0.1431,-0.0378,-0.2869
0.1542,-0.0331,-0.2533
0.1282,-0.0115,-0.1743
0.1059,-0.023,-0.1674
0.104,-0.0297,-0.1102
0.1135,-0.0408,-0.0796
0.0653,-0.0521,-0.0584
0.0441,-0.0784,-0.0538
-0.0055,-0.0857,-0.0634
-0.0353,-0.1076,-0.0752
-0.0552,-0.1176,-0.0367
-0.0514,-0.1203,-0.0486
-0.0384,-0.1349,-0.0796
-0.0535,-0.1283,-0.12
-0.0611,-0.1216,-0.1534
-0.0589,-0.1098,-0.1916
-0.0251,-0.1094,-0.1582
-0.0606,-0.0892,-0.1611
-0.0241,-0.0856,-0.1449
-0.007,-0.0393,-0.1453
0.0196,-0.0316,-0.1767
0.0408,-0.0219,-0.172
0.0743,-0.0217,-0.1529
0.1148,0.0025,-0.153
0.0785,-0.0238,-0.1459
0.0355,-0.019,-0.1818
0.0334,0.0142,-0.1984
0.0063,-0.039,-0.2006
0.097,-0.0249,-0.1742
0.1244,-0.0587,-0.1478
0.1371,-0.0708,-0.1718
0.0782,-0.1021,-0.1527
0.0324,-0.0994,-0.0907
-0.0168,-0.0936,-0.0505
-0.0415,-0.0807,-0.0749
-0.0659,-0.0898,-0.1039
-0.0927,-0.0875,-0.1183
-0.1218,-0.078,-0.1541
-0.129,-0.0877,-0.1469
-0.1427,-0.1116,-0.1828
-0.1384,-0.1113,-0.2045
-0.1431,-0.082,-0.2094
