accx,accy,accz
-6.7722,-2.0481,6.9259
-6.8358,-1.9053,6.7736
-6.8889,-1.7373,6.5826
-6.8698,-1.5121,6.3267
-6.836,-1.2562,6.1223
-6.8113,-1.0249,5.8663
-6.6782,-0.8657,5.7412
-6.5916,-0.6978,5.8166
-6.7107,-0.5704,6.2139
-6.8357,-0.4946,6.9212
-6.9028,-0.6231,7.7208
-6.8495,-1.0476,8.6906
-6.8175,-1.3924,9.5787
-6.6854,-1.7124,10.6446
-6.5208,-2.0468,11.5534
-6.2961,-2.4834,12.2074
-6.2271,-2.8241,12.5025
-6.5565,-2.775,12.3946
-6.93,-2.2545,11.4532
-6.8016,-2.0525,10.2137
-6.4351,-2.2385,9.6577
-6.311,-2.3611,9.5002
-6.3761,-2.4036,9.7403
-6.2571,-2.8133,10.5502
-6.1073,-3.4485,11.497
-6.166,-4.1255,12.3512
-6.2771,-4.553,12.7502
-6.2195,-4.824,12.7892
-6.0941,-4.8309,12.2494
-5.9626,-4.6086,11.091
-5.7273,-4.3266,10.0075
-5.422,-4.0825,8.9879
-5.3382,-3.9285,8.3734
-5.4661,-3.7446,7.8873
-5.6663,-3.5958,7.5087
-5.8003,-3.4671,7.0636
-5.8426,-3.4175,6.6917
-5.8452,-3.3972,6.4808
-5.8111,-3.4344,6.4312
-5.8227,-3.509,6.4639
-5.8343,-3.5665,6.5528
-5.8667,-3.6504,6.7432
-5.8455,-3.7588,7.02
-5.763,-3.8225,7.3543
-5.6739,-3.8947,7.6372
-5.7027,-3.9036,7.8157
-5.7895,-3.8542,7.8712
-5.8456,-3.8545,7.8108
-5.9442,-3.8073,7.5725
-6.0838,-3.7358,7.2685
-6.2509,-3.5842,6.8879
-6.2478,-3.4281,6.6601
-6.2357,-3.2455,6.4823
-6.2485,-3.0933,6.3898
-6.1137,-2.9097,6.4306
-5.9732,-2.7704,6.4972
-5.7861,-2.6255,6.6251
-5.7262,-2.5736,6.7348
-5.7064,-2.5891,6.7599
-5.8296,-2.4348,6.9947
-5.8407,-2.3712,7.1393
-5.846,-2.3039,7.1974
-5.8913,-2.2327,7.3248
-5.9432,-2.1719,7.5017
-5.9866,-2.2109,7.7472
-6.0574,-2.1819,8.0001
-6.1441,-2.1039,8.5467
-5.998,-2.209,9.1738
-5.8372,-2.3558,9.6833
-5.7348,-2.4373,9.9841
-5.7249,-2.4774,10.3086
-5.7531,-2.5538,10.5672
-5.7445,-2.732,10.8943
-5.8933,-2.8636,11.1382
-6.5802,-2.5987,11.1793
