accx,accy,accz
0.0211,0.0855,-0.1135
0.0641,0.1232,0.0143
0.1225,0.1292,0.0249
0.2484,0.1464,0.1363
0.3615,0.1368,0.2596
0.4675,0.1073,0.3301
0.561,0.093,0.3028
0.6821,0.0744,0.1689
0.7427,0.0412,0.0192
0.7274,0.0158,-0.1394
0.6295,-0.0053,-0.2187
0.5065,-0.0093,-0.3409
0.4513,-0.0676,-0.3434
0.4044,-0.1498,-0.222
0.3777,-0.1369,-0.0664
0.2998,-0.0555,0.0316
0.1614,0.0171,-0.0514
-0.0874,-0.0757,0.1042
-0.2024,-0.1676,0.2443
-0.2717,-0.1595,0.367
-0.2962,-0.1407,0.3707
-0.3374,-0.138,0.1295
-0.4447,-0.1462,-0.0421
-0.4248,-0.1476,-0.3948
-0.4224,-0.1534,-0.5885
-0.418,-0.1772,-0.6913
-0.4572,-0.1765,-0.6345
-0.444,-0.1508,-0.5356
-0.4301,-0.1467,-0.354
-0.4588,-0.1027,-0.2328
-0.4771,-0.0948,-0.1358
-0.5224,-0.1392,-0.134
-0.5103,-0.116,-0.2107
-0.5189,-0.144,-0.22
-0.5054,-0.1496,-0.2249
-0.535,-0.1426,-0.2587
-0.6154,-0.1301,-0.2976
-0.6341,-0.1081,-0.3437
-0.6532,-0.0962,-0.4447
-0.6227,-0.1032,-0.4739
-0.5685,-0.0726,-0.3865
-0.5452,-0.0765,-0.2973
-0.5348,-0.0531,-0.2324
-0.4385,0.0035,-0.2322
-0.3648,0.0828,-0.3563
-0.3304,0.0498,-0.542
-0.3201,-0.0042,-0.6721
-0.3184,-0.0848,-0.7017
-0.1281,-0.145,-0.6072
-0.0428,-0.1235,-0.3968
0.0808,-0.1259,-0.1346
0.1425,-0.091,0.0002
0.2169,-0.0732,0.0873
0.2486,-0.0633,0.1316
0.2583,-0.0901,0.1715
0.2788,-0.0731,0.1855
0.3443,-0.0436,0.1069
0.3615,-0.0548,0.0281
0.3235,-0.0891,-0.025
0.3255,-0.1029,-0.0645
0.2719,-0.1155,-0.0805
0.203,-0.0911,-0.0873
0.0988,-0.0956,-0.0744
0.0197,-0.124,-0.0752
-0.0414,-0.1236,-0.1498
-0.0412,-0.1241,-0.2069
-0.0323,-0.0986,-0.1512
0.0145,-0.0406,-0.1549
0.1311,-0.038,-0.1923
0.0979,-0.084,-0.2106
0.0423,-0.1038,-0.2245
0.0029,-0.1141,-0.2339
-0.0161,-0.1746,-0.2098
-0.6109,-0.2847,-0.1954
0.4272,-0.1013,-0.3872
0.1237,-0.1227,-0.0929
0.03,-0.1649,0.1166
0.1306,-0.1393,0.0912
0.1823,-0.0323,-0.1267
0.1556,0.04,-0.2787
0.065,0.0099,-0.253
0.0358,-0.0646,-0.2364
-0.0081,-0.1617,-0.2123
0.0339,-0.1208,-0.2597
0.0402,-0.0344,-0.3335
0.0286,-0.0572,-0.3261
0.0552,-0.0808,-0.3263
0.0627,-0.1323,-0.3053
0.0288,-0.1304,-0.2535
0.0234,-0.0944,-0.2234
-0.0229,-0.0769,-0.1792
0.0239,-0.0824,-0.0947
0.0819,-0.0843,0.0229
0.0817,-0.0735,0.0684
0.1124,-0.057,0.0713
0.1144,-0.0473,-0.0065
0.0883,-0.0564,-0.1098
0.078,-0.0644,-0.172
0.0234,-0.0798,-0.2531
0.0512,-0.0615,-0.3175
0.0777,-0.047,-0.3486
0.0769,-0.041,-0.3682
0.0689,-0.0261,-0.3428
0.0614,-0.0462,-0.2292
0.061,-0.0749,-0.1018
0.068,-0.0652,-0.02
0.105,-0.0747,0.0235
0.0904,-0.0775,-0.0166
0.1261,-0.0573,-0.1257
0.0991,-0.0737,-0.1578
0.1023,-0.054,-0.1516
0.0697,-0.0704,-0.1693
0.0303,-0.0347,-0.1629
0.0106,-0.071,-0.1707
0.0371,-0.0786,-0.1664
0.0728,-0.0882,-0.0833
0.0692,-0.0664,-0.0746
0.0211,-0.0452,-0.1113
