accx,accy,accz
-0.5715,-1.9308,-1.6505
-0.5336,-1.7913,-1.7627
-0.464,-1.665,-1.8558
-0.4311,-1.4962,-1.9803
-0.5119,-1.4199,-2.0869
-0.5509,-1.4052,-2.1293
-0.5554,-1.4074,-2.1277
-0.6786,-1.3347,-2.1332
-0.7054,-1.2838,-1.9575
-0.751,-1.2674,-1.7557
-0.6825,-1.2394,-1.6032
-0.576,-1.0874,-1.3643
-0.4398,-0.9223,-1.1842
-0.2828,-0.667,-1.0831
-0.2369,-0.4169,-1.0784
-0.2874,-0.2546,-1.1467
-0.2777,-0.2474,-1.0454
-0.376,-0.28,-0.7694
-0.6588,-0.4818,-0.3965
-0.9774,-0.8586,-0.0127
-1.4885,-1.1296,0.4603
-2.1167,-1.6086,0.6379
-2.6543,-1.9731,0.8134
-2.498,-1.6562,1.2008
-1.5066,-1.2641,1.8501
-0.3001,-0.4543,2.0304
0.1146,0.2639,1.4447
0.3023,1.022,0.2937
0.0349,1.4635,-0.8045
-0.283,1.6222,-1.6536
-0.5421,1.5676,-1.6934
-0.5519,1.3143,-0.9702
-0.4599,1.1346,-0.1004
-0.4769,0.9767,1.1316
-0.3809,0.707,2.1122
-0.1563,0.5499,2.8152
-0.098,0.4716,2.8376
-0.0537,0.5397,2.6584
0.0138,0.7657,2.6133
0.1444,0.8146,2.8376
0.4051,0.568,3.345
0.8455,-0.0286,4.0709
1.1654,-0.6462,4.9284
1.4301,-1.5435,6.0807
1.5442,-2.3053,6.9393
1.4869,-2.9012,7.2634
1.3667,-3.129,6.8417
1.2561,-3.0948,5.6161
1.2882,-2.8814,4.1372
1.3345,-2.5498,2.3122
1.4608,-2.1677,0.8711
1.5737,-1.8487,-0.2544
1.6109,-1.6523,-1.0794
1.4849,-1.5318,-1.9272
1.3902,-1.4867,-2.3924
1.3945,-1.4623,-2.5354
1.5055,-1.4784,-2.3425
1.4918,-1.5463,-2.1875
1.4692,-1.6381,-2.0059
1.4119,-1.837,-1.8756
1.2983,-1.991,-1.8535
1.1614,-2.1529,-1.801
0.8283,-2.3049,-1.824
0.5464,-2.4797,-1.8561
0.3262,-2.5361,-1.7574
0.0706,-2.5134,-1.6557
-0.2453,-2.3953,-1.6562
-0.489,-2.2637,-1.7663
-0.6947,-2.0731,-2.0227
-0.8038,-1.8904,-2.2866
-0.8768,-1.6069,-2.4285
-0.8698,-1.4024,-2.4375
-0.8081,-1.1991,-2.3623
-0.7853,-0.9993,-2.261
-0.88,-0.8582,-2.1939
-0.9954,-0.766,-2.0296
-1.0905,-0.6593,-1.5893
-1.1713,-0.5336,-1.0902
-1.1391,-0.4845,-0.705
-0.9987,-0.3899,-0.4157
-0.8377,-0.2459,-0.1403
-0.6769,-0.0803,0.1778
-0.4413,0.0478,0.5642
-0.2646,0.1715,0.8349
-0.221,0.3245,1.1059
-0.2482,0.4318,1.2979
-0.2559,0.5045,1.4316
-0.2656,0.5594,1.5505
-0.3147,0.571,1.5414
-0.2206,0.623,1.5311
-0.0316,0.7573,1.6484
0.1406,0.819,1.677
0.3285,0.8283,1.7924
0.4727,0.7762,1.9229
0.5929,0.6174,2.1423
0.5556,0.449,2.3746
0.3143,0.4043,2.376
0.0155,0.4019,1.8911
-0.4155,0.4305,1.0117
-0.6175,0.4883,0.3229
-0.6032,0.6116,-0.0152
-0.5334,0.722,0.0503
-0.5472,0.757,0.5856
-0.5557,0.5247,1.2366
-0.6658,0.0595,1.8886
-0.8141,-0.39,2.238
-0.8712,-0.9422,2.4501
-0.9921,-1.3206,2.3216
-0.8902,-1.6164,1.9316
-0.7055,-1.6687,1.6512
-0.5337,-1.5587,1.3081
-0.491,-1.472,0.9543
-0.6374,-1.3763,0.5949
-0.8346,-1.3581,0.4245
-1.0798,-1.3473,0.4029
-1.3549,-1.3281,0.6377
-1.5788,-1.4106,0.897
-1.8224,-1.42,1.0704
-1.9921,-1.4183,1.1075
-1.9699,-1.4024,0.9255
-1.8578,-1.3085,0.4874
-1.7045,-1.1749,0.1305
-1.5801,-0.957,-0.13
-1.4132,-0.8785,-0.3122
-1.2967,-0.9312,-0.452
